id;jenjang_pendidikan;minat_bakat;jalur_pendaftaran;rata_nilai;rencana_karir;prodi_rekomendasi_id
1;D3;Fisika, Teknik Tenaga Listrik (TTL);Jalur Tes Tulis;830.0;Network Engineer;2
2;D3;Kimia, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;91.0;Broadcast Engineer;7
3;D4;Pemrograman, Statistika, Teknologi Komputer Jaringan (TKJ), Desain Animasi;Jalur Prestasi;95.6;Machine Learning Engineer;12
4;D4;Teknik Instalasi Tenaga Listrik (TITL), Teknologi Komputer Jaringan (TKJ), Elektronika, Desain Animasi;Jalur Prestasi;86.1;Game Designer;9
5;D4;Fisika, Matematika, Desain Animasi;Jalur Test Tulis;882.7;Digital Content Creator;11
6;D4;Teknik Tenaga Listrik (TTL), Matematika, Multimedia;Jalur Prestasi;94.0;Machine Learning Engineer;12
7;D4;Desain Animasi, Teknologi Komputer Jaringan (TKJ), Statistika, Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;708.0;Automation Engineer;5
8;D4;Desain Grafis, Pemrograman, Fisika;Jalur Test Tulis;664.0;UI/UX Designer;11
9;D4;Kimia;Jalur Tes Tulis;755.0;Computer Engineer;6
10;D4;Desain Grafis, Kimia;Jalur Test Tulis;654.0;Digital Content Creator;11
11;D4;Desain Grafis;Jalur Prestasi;87.5;Cloud Engineer;10
12;D4;Elektronika;Jalur Test Tulis;839.5;Automation Engineer;3
13;D4;Desain Animasi, Kimia, Statistika;SIMANDIRI;651.5;Business Intelligence Analyst;12
14;D4;Statistika;Jalur Test Tulis;777.5;RF Engineer;2
15;D4;Matematika;Jalur Prestasi;88.9;Embedded Systems Engineer;1
16;D4;Desain Grafis, Teknik Instalasi Tenaga Listrik (TITL), Teknologi Komputer Jaringan (TKJ), Multimedia;Jalur Test Tulis;774.2;IT Support Specialist;6
17;D4;Multimedia, Desain Grafis, Desain Animasi;Jalur Prestasi;88.3;Network Security Specialist;10
18;D4;Kimia, Desain Animasi, Desain Grafis, Teknik Tenaga Listrik (TTL);Jalur Test Tulis;833.3;Electrical Engineer;1
